Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status
,853da195-de77-4959-b8e1-a0c552b79993,be7445eb-a5eb-45cc-bbf6-0bdc3b72979b,SFML/SFML,2.5.1.s,2.5.1.s-1/x86_64,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,"Files Added/Deleted,Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/31/19,clearlinux,SFML/2.5.1.s-1/x86_64,NOT_REVIEWED,,,SFML Xapps XA25 Source,KB_COMPONENT,
,94e96e4e-0608-4d0d-9197-27564f6ad6b7,093251b6-8dc5-4250-9fe9-00c4109fdc1f,libsfml2-dbg,2.5.1,2.5.1+dfsg-1,7bf4506f-7531-4655-a4bf-e9deb4d2cc8e,zlib License,PERMISSIVE,"Exact,Files Modified",,DYNAMICALLY_LINKED,true,OK,Not In Violation,,7/31/19,ubuntu,libsfml/2.5.1+dfsg-1,NOT_REVIEWED,,,SFML Xapps XA25 Source,KB_COMPONENT,
